Parent ZAI,Reaction ID,Daughter ZAI,Cross-section
501220,16,501210,4.71E-03
501220,17,501200,4.09E-04
501220,102,501230,1.10E-01
501220,103,491220,2.18E-06
501230,16,501220,1.12E-02
501230,17,501210,4.06E-04
501230,102,501240,2.08E-01
501230,103,491230,4.02E-06
501240,16,501230,5.31E-03
501240,17,501220,5.47E-04
501240,102,501250,9.21E-02
501240,103,491240,5.40E-06
501250,16,501240,3.64E-03
501250,17,501230,3.55E-04
501250,102,501260,8.16E-02
501250,103,491250,2.90E-06
501260,16,501250,5.85E-03
501260,17,501240,1.08E-03
501260,102,501270,7.76E-03
501260,103,491260,1.41E-06
501211,16,501200,3.94E-03
501211,102,501220,2.25E-01
501211,103,491210,8.69E-06
511210,16,511200,2.45E-03
511210,17,511190,6.50E-05
511210,102,511220,3.15E-01
511210,103,501210,5.20E-05
511220,16,511210,5.90E-03
511220,102,511230,4.86E-01
511220,103,501220,6.85E-05
511230,16,511220,2.50E-03
511230,17,511210,2.60E-04
511230,102,511240,2.17E-01
511230,103,501230,3.19E-05
511240,16,511230,9.37E-03
511240,17,511220,5.15E-04
511240,102,511250,4.44E-01
511240,103,501240,6.90E-06
511250,16,511240,3.87E-03
511250,17,511230,6.13E-04
511250,102,511260,2.95E-01
511250,103,501250,3.87E-06
511260,16,511250,3.88E-03
511260,17,511240,2.40E-04
511260,102,511270,3.47E-01
511260,103,501260,2.39E-05
521200,16,521190,1.61E-03
521200,17,521180,7.98E-05
521200,102,521210,1.95E-01
521200,103,511200,1.10E-04
521210,16,521200,4.22E-03
521210,102,521220,6.03E-01
521210,103,511210,1.38E-04
521220,16,521210,1.73E-03
521220,17,521200,1.79E-04
521220,102,521230,2.75E-01
521220,103,511220,2.05E-05
521230,16,521220,7.39E-03
521230,17,521210,2.14E-04
521230,102,521240,4.71E-01
521230,103,511230,2.34E-05
521240,16,521230,2.20E-03
521240,17,521220,3.52E-04
521240,102,521250,1.81E-01
521240,103,511240,1.17E-05
521250,16,521240,1.00E-02
521250,17,521230,3.00E-04
521250,102,521260,2.73E-01
521250,103,511250,1.13E-05
521260,16,521250,2.72E-03
521260,17,521240,4.24E-04
521260,102,521270,1.30E-01
521260,103,511260,5.93E-06
521280,16,521270,4.07E-03
521280,17,521260,5.47E-04
521280,102,521290,1.22E-01
521280,103,511280,3.00E-06
521300,16,521290,4.40E-03
521300,17,521280,8.88E-05
521300,102,521310,1.04E-01
521300,103,511300,3.22E-05
521310,16,521300,5.89E-03
521310,102,521320,1.78E-02
521310,103,511310,5.03E-06
521320,16,521310,4.97E-03
521320,17,521300,5.55E-04
521320,102,521330,1.05E-01
521320,103,511320,8.77E-06
521211,16,521200,3.34E-03
521211,102,521220,9.51E-01
521211,103,511210,1.20E-04
521271,16,521260,9.51E-03
521271,17,521250,4.90E-04
521271,102,521280,5.12E-01
521271,103,511270,5.74E-06
521291,16,521280,8.79E-03
521291,17,521270,6.40E-04
521291,102,521300,4.52E-01
521291,103,511290,3.07E-06
521311,16,521300,5.13E-03
521311,102,521320,2.59E-02
521311,103,511310,5.45E-06
531270,16,531260,2.67E-03
531270,17,531250,1.65E-04
531270,102,531280,3.79E-01
531270,103,521270,4.73E-05
531280,16,531270,6.18E-03
531280,102,531290,3.69E-01
531280,103,521280,3.45E-05
531290,16,531280,4.07E-03
531290,17,531270,4.32E-04
531290,102,531300,2.83E-01
531290,103,521290,6.28E-06
531300,16,531290,5.04E-03
531300,17,531280,1.40E-04
531300,102,531310,2.68E-01
531300,103,521300,4.09E-05
531310,16,531300,5.00E-03
531310,17,531290,5.39E-04
531310,102,531320,1.47E-01
531310,103,521310,3.38E-06
531320,16,531310,6.18E-03
531320,102,531330,8.48E-02
531320,103,521320,1.10E-05
531330,16,531320,3.19E-03
531330,102,531340,2.45E-02
531330,103,521330,5.55E-06
531340,16,531330,6.79E-03
531340,102,531350,1.61E-02
531340,103,521340,6.72E-06
531350,16,531340,5.02E-03
531350,17,531330,4.48E-04
531350,102,531360,6.81E-03
531350,103,521350,3.85E-06
531321,16,531310,4.68E-03
531321,102,531330,9.44E-02
531321,103,521320,1.13E-05
541230,16,541220,3.22E-03
541230,17,541210,5.36E-08
541230,102,541240,9.98E-01
541230,103,531230,8.44E-03
541240,16,541230,1.72E-03
